scene,mean acc,count,var acc
ice_floe,0.005276,1,
backstairs,0.020796,1,
cavern_indoor,0.047254,1,
sushi_bar,0.071529,1,
estuary,0.090681,1,
foundry_outdoor,0.113179,1,
convenience_store_outdoor,0.118714,1,
assembly_hall,0.123757,1,
canyon,0.146129,1,
mission,0.157015,1,
mosque_indoor,0.1783,1,
fountain,0.180104,1,
quadrangle,0.213871,1,
lookout_station_outdoor,0.21473,1,
dugout,0.221592,1,
balustrade,0.229525,1,
gate,0.26153,1,
waterway,0.2687,1,
orchestra_pit,0.278905,1,
semidesert,0.280498,1,
ranch_house,0.312487,1,
barndoor,0.314595,1,
manufactured_home,0.314602,1,
mine,0.335863,1,
lean-to,0.343095,1,
stable,0.34908,1,
zen_garden,0.349269,1,
kasbah,0.351441,1,
bookstore,0.3515665,2,0.0388092586005
hoodoo,0.361634,1,
washhouse_outdoor,0.365426,1,
clock_tower_indoor,0.367482,1,
spillway,0.369611,1,
landing_strip,0.3707,1,
train_railway,0.370979,1,
hutment,0.371542,1,
housing_project,0.376415,1,
convenience_store_indoor,0.39554,1,
revolving_door,0.4043595,2,0.190150194613
cabin_outdoor,0.4051935,2,0.0795937171445
dairy_indoor,0.411471,1,
bottle_storage,0.413471,1,
hat_shop,0.415735,1,
atrium_public,0.416625,2,0.103789324832
guardhouse,0.418791,1,
nightclub,0.442114,1,
plunge,0.443776,1,
glacier,0.44821,1,
drill_rig,0.451405,1,
chuck_wagon,0.458955,1,
bookbindery,0.460507,1,
jewelry_shop,0.462584,1,
flea_market_indoor,0.467931,1,
cockpit,0.47137775,4,0.118518784296
hut,0.471658,1,
signal_box,0.474924,1,
guardroom,0.477031,1,
oasis,0.479145,1,
sauna,0.481844,2,0.237887187848
departure_lounge,0.488109,1,
landing,0.49184,1,
joss_house,0.496139,1,
hot_tub_indoor,0.496872,1,
weighbridge,0.501235666667,3,0.0980213730493
booth_indoor,0.501319,1,
oil_refinery_outdoor,0.502234,1,
hot_tub_outdoor,0.502485,1,
loading_dock,0.502767,1,
bathhouse,0.503499,1,
vinery,0.503778,1,
frontseat,0.504832,1,
restaurant,0.505116,2,0.018753259778
batting_cage_indoor,0.506182,1,
junkyard,0.507138,1,
science_museum,0.510888,1,
anechoic_chamber,0.516387,2,0.000288624338
videostore,0.5170925,2,0.25549882764
earth_fissure,0.517405,1,
massage_room,0.519454,1,
ferryboat_indoor,0.522614,1,
lawn,0.523425,1,
freestanding,0.523612,1,
fishmarket,0.52428,1,
sunroom,0.527443,1,
bridle_path,0.534375,1,
bullring,0.537616,1,
pilothouse_indoor,0.537712,1,
morgue,0.540388,1,
dacha,0.542611,1,
hospital_room,0.543393,1,
observatory_indoor,0.545201,1,
war_room,0.545648,1,
baseball,0.54663,1,
throne_room,0.547276,1,
veranda,0.547405,1,
hotel_breakfast_area,0.551736,1,
museum_outdoor,0.552123,1,
florist_shop_indoor,0.5543125,2,0.0003785376125
carrousel,0.5571155,2,0.0415005169005
pasture,0.559081857143,7,0.0286189649328
campsite,0.559578,1,
shopping_mall_indoor,0.5610825,2,0.0119934425645
gift_shop,0.562228,1,
library_indoor,0.56451,2,0.001168087778
sawmill,0.565247,1,
hunting_lodge_indoor,0.567108,1,
mess_hall,0.569728,1,
television_studio,0.57143,1,
snack_bar,0.574555,1,
playroom,0.5800505,4,0.081256623263
yard,0.5802265,2,3.78189045e-05
boathouse,0.5804235,2,0.103805271725
shipping_room,0.585968,1,
florist_shop_outdoor,0.58945,1,
food_court,0.591618,1,
urban,0.5916335,2,0.0065552395005
bank_indoor,0.592155,1,
baptistry_outdoor,0.593107,1,
bleachers_indoor,0.593379,1,
threshing_floor,0.593928,1,
drainage_ditch,0.594488,1,
arch,0.5956,1,
natural_history_museum,0.595651,1,
veterinarians_office,0.595658,1,
chalet,0.59832,1,
vehicle,0.5999325,4,0.0299523936597
wrestling_ring_indoor,0.6000115,2,0.0919094225405
cascade,0.600561,1,
casino_indoor,0.601389,4,0.104866835265
candy_store,0.602124,2,0.060556176072
baptistry_indoor,0.6063285,2,0.0407348570205
inn_outdoor,0.6086485,2,0.0801628828245
bar,0.609914333333,6,0.0522300279991
bazaar_outdoor,0.613014,1,
windmill,0.615092,1,
incinerator_indoor,0.6156,1,
dirt_track,0.615786,1,
salon,0.616729,1,
dorm_room,0.6172345,6,0.0967578386247
atrium_home,0.61862,1,
bus_shelter,0.61879,1,
creek,0.6232995,4,0.051204739641
mansion,0.6234335,2,0.118205430421
ski_lodge,0.624012,2,0.06561977645
badminton_court_outdoor,0.624702,1,
checkout_counter,0.627406,1,
general_store_indoor,0.627994,1,
castle,0.631035666667,6,0.0663481252843
lagoon,0.63141,1,
tomb,0.633782,1,
supermarket,0.634956333333,3,0.0357392041293
outhouse_outdoor,0.635335,1,
dining_hall,0.636283,1,
